,country_code,region_name,iata,icao,airport,latitude,longitude,FIPS
7836,US,California,DAG,KDAG,Barstow-Daggett Airport,34.8537,-116.787,06071
7837,US,Florida,DAB,KDAB,Daytona Beach International Airport,29.1799,-81.0581,12127
7838,US,Virginia,DAA,KDAA,Davison Army Airfield,38.715,-77.181,51059
7839,US,Alaska,KPC,PAPC,Port Clarence Coast Guard Station,65.2537,-166.859,
7840,US,Texas,CZT,KCZT,Dimmit County Airport,28.5222,-99.8236,48127
7841,US,Alaska,CZP,,Cape Pole Seaplane Base,55.9663,-133.797,02198
7842,US,Alaska,CZO,,Chistochina Airport,62.5635,-144.669,02261
7843,US,Alaska,CZN,,Chisana Airport,62.0712,-142.048,02261
7844,US,Louisiana,OPL,KOPL,St. Landry Parish Airport (Ahart Field),30.5584,-92.0994,22097
7845,US,Oregon,CZK,KCZK,Cascade Locks State Airport,45.6769,-121.879,41027
7846,US,Alaska,KPB,,Point Baker Seaplane Base,56.3519,-133.623,
7847,US,Alaska,CZF,PACZ,Cape Romanzof LRRS Airport,61.7803,-166.039,02270
7848,US,Alaska,CZC,,Copper Center 2 Airport,61.9412,-145.294,02261
7849,US,Alaska,KOZ,,Ouzinkie Airport,57.9254,-152.497,02150
7850,US,Alaska,KOY,,Olga Bay Seaplane Base,57.1615,-154.23,02150
7851,US,Virginia,ORF,KORF,Norfolk International Airport,36.8946,-76.2012,51710
7852,US,Massachusetts,ORH,KORH,Worcester Regional Airport,42.2673,-71.8757,25027
7853,US,Alaska,CYT,PACY,Yakataga Airport,60.081,-142.495,02282
7854,US,Wyoming,CYS,KCYS,Cheyenne Regional Airport (Jerry Olson Field),41.1557,-104.812,56021
7855,US,Alaska,ORI,KORI,Port Lions Airport,57.8853,-152.846,02150
7856,US,Alaska,CYM,,Chatham Seaplane Base,57.5149,-134.946,02220
7857,US,Alaska,KOT,PFKO,Kotlik Airport,63.0306,-163.533,02270
7858,US,Alaska,CYF,PACK,Chefornak Airport,60.1492,-164.286,02050
7859,US,Florida,ORL,KORL,Orlando Executive Airport,28.5455,-81.3329,12095
7860,US,Texas,CXO,KCXO,Lone Star Executive Airport,30.3518,-95.4145,48339
7861,US,Hawaii,KOA,PHKO,Kona International Airport at Keahole,19.7388,-156.046,15001
7862,US,California,CXL,KCXL,Calexico International Airport,32.6695,-115.513,06025
7863,US,Alaska,ORT,PAOR,Northway Airport,62.9613,-141.929,02240
7864,US,Alaska,CXF,PACX,Coldfoot Airport,67.2522,-150.204,02290
7865,US,Alaska,CXC,,Chitina Airport,61.5829,-144.427,02261
7866,US,Arizona,CWX,,Cochise County Airport,32.2454,-109.895,04003
7867,US,Washington,CWS,,Center Island Airport,48.4901,-122.832,53055
7868,US,Iowa,CWI,KCWI,Clinton Municipal Airport,41.8311,-90.3291,19045
7869,US,Louisiana,CWF,KCWF,Chennault International Airport,30.2106,-93.1432,22019
7870,US,Alaska,ORV,PFNO,Robert (Bob) Curtis Memorial Airport,66.8179,-161.019,02188
7871,US,Wisconsin,CWA,KCWA,Central Wisconsin Airport,44.7776,-89.6668,55073
7872,US,Alaska,KNW,PANW,New Stuyahok Airport,59.4499,-157.328,02070
7873,US,New Mexico,CVS,KCVS,Cannon Air Force Base,34.3828,-103.322,35009
7874,US,Oregon,CVO,KCVO,Corvallis Municipal Airport,44.4972,-123.29,41003
7875,US,New Mexico,CVN,KCVN,Clovis Municipal Airport,34.4251,-103.079,35009
7876,US,Missouri,KNT,KTKX,Kennett Memorial Airport,36.2259,-90.0366,29069
7877,US,Missouri,KNK,PFKK,Kokhanok Airport,59.4332,-154.804,02164
7878,US,Kentucky,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,39.0488,-84.6678,21015
7879,US,Missouri,OSB,,Grand Glaize-Osage Beach Airport,36.3058,43.1474,
7880,US,Texas,CUX,,Cuddihy Field,27.7218,-97.5121,48355
7881,US,Michigan,OSC,KOSC,Oscoda-Wurtsmith Airport,44.4516,-83.3941,26069
7882,US,New Mexico,CUS,KOLU,Columbus Municipal Airport,39.2557,-85.8971,18005
7883,US,Wisconsin,OSH,KOSH,Wittman Regional Airport,43.9844,-88.557,55139
7884,US,Utah,KNB,KKNB,Kanab Municipal Airport,37.0106,-112.531,49025
7885,US,Alaska,KMY,,Moser Bay Seaplane Base,57.0256,-154.146,02150
7886,US,Oklahoma,CUH,KCUH,Cushing Municipal Airport,35.9499,-96.7731,40119
7887,US,South Carolina,CUB,KCUB,Jim Hamilton-L.B. Owens Airport,33.9705,-80.9952,45079
7888,US,Ohio,OSU,KOSU,Ohio State University Airport,40.0798,-83.073,39049
7889,US,North Carolina,CTZ,KCTZ,Clinton-Sampson County Airport,34.9756,-78.3646,37163
7890,US,Florida,CTY,KCTY,Cross City Airport,29.6355,-83.1048,12029
7891,US,New York,CTX,,Cortland County Airport (Chase Field,42.5926,-76.2149,36023
7892,US,Arizona,CTW,,Cottonwood Airport,34.73,-112.035,04025
7893,US,New York,CTO,,Calverton Executive Airpark,40.9151,-72.7919,36103
7894,US,Mississippi,OSX,KOSX,Kosciusko-Attala County Airport,33.09,-89.5409,28007
7895,US,South Dakota,CTK,,Canton Municipal Airport,43.3089,-96.571,46083
7896,US,Pennsylvania,CTH,KMQS,Chester County G. O. Carlson Airport,39.979,-75.8655,42029
7897,US,Minnesota,OTG,KOTG,Worthington Municipal Airport,43.6559,-95.584,27105
7898,US,Oregon,OTH,KOTH,Southwest Oregon Regional Airport,43.4171,-124.246,41011
7899,US,Oregon,OTK,KTMK,Tillamook Airport,45.4182,-123.814,41057
7900,US,Iowa,OTM,KOTM,Ottumwa Regional Airport,41.1066,-92.4479,19179
7901,US,Montana,CTB,KCTB,Cut Bank Municipal Airport,48.6084,-112.376,30035
7902,US,Washington,OTS,,Anacortes Airport,48.499,-122.662,53057
7903,US,Tennessee,CSV,KCSV,Crossville Memorial-Whitson Field,35.9513,-85.085,47035
7904,US,Iowa,CSQ,KCSQ,Creston Municipal Airport,41.0214,-94.3633,19175
7905,US,Nevada,CSN,KCXP,Carson Airport,39.1922,-119.734,32510
7906,US,Oklahoma,CSM,KCSM,Clinton-Sherman Airport,35.3398,-99.2005,40149
7907,US,Alaska,OTZ,PAOT,Ralph Wien Memorial Airport,66.8847,-162.599,02188
7908,US,Alaska,KMO,PAMB,Manokotak Airport,58.9902,-159.05,02070
7909,US,Georgia,CSG,KCSG,Columbus Airport,32.5163,-84.9389,13215
7910,US,Colorado,CSE,,Buckhorn Ranch Airport,38.8519,-106.928,08051
7911,US,Oklahoma,OUN,KOUN,University of Oklahoma Westheimer Airport (Max Westheimer Airport),35.2456,-97.4721,40027
7912,US,Alaska,KLW,PAKW,Klawock Airport,55.5792,-133.076,02198
7913,US,Mississippi,CRX,KCRX,Roscoe Turner Airport,34.915,-88.6035,28003
7914,US,West Virginia,CRW,KCRW,Yeager Airport,38.3731,-81.5932,54039
7915,US,Arkansas,CRT,KCRT,Z. M. Jack Stell Field,33.1783,-91.8802,05003
7916,US,Texas,CRS,KCRS,C. David Campbell Field (Corsicana Municipal Airport),32.0281,-96.4006,48349
7917,US,Texas,CRP,KCRP,Corpus Christi International Airport,27.7704,-97.5012,48355
7918,US,California,CRO,KCRO,Corcoran Airport,36.1025,-119.595,06031
7919,US,California,OVE,KOVE,Oroville Municipal Airport,39.4878,-121.622,06007
7920,US,Washington,KLS,KKLS,Southwest Washington Regional Airport,46.118,-122.898,53015
7921,US,Florida,CRG,KCRG,Jacksonville Executive at Craig Airport,30.3363,-81.5144,12031
7922,US,South Carolina,CRE,KCRE,Grand Strand Airport,33.8117,-78.7239,45051
7923,US,Minnesota,OWA,KOWA,Owatonna Degner Regional Airport,44.1234,-93.2606,27147
7924,US,Massachusetts,CPX,TJCP,Benjamin Rivera Noriega Airport,18.3133,-65.3043,72049
7925,US,Illinois,CPS,KCPS,St. Louis Downtown Airport,38.5707,-90.1562,17163
7926,US,Wyoming,CPR,KCPR,Casper-Natrona County International Airport,42.908,-106.464,56025
7927,US,California,CPM,KCPM,Compton/Woodley Airport,33.89,-118.244,06037
7928,US,Kentucky,OWB,KOWB,Owensboro-Daviess County Airport,37.7401,-87.1668,21059
7929,US,Massachusetts,OWD,KOWD,Norwood Memorial Airport,42.1905,-71.1729,25021
7930,US,Missouri,COU,KCOU,Columbia Regional Airport,38.8181,-92.2196,29019
7931,US,Texas,COT,KCOT,Cotulla-La Salle County Airport,28.4567,-99.2203,48283
7932,US,Colorado,COS,KCOS,Colorado Springs Airport,38.8058,-104.701,08041
7933,US,Maine,OWK,KOWK,Central Maine Airport of Norridgewock,44.7155,-69.8665,23025
7934,US,New York,COP,,Cooperstown-Westville Airport,42.6292,-74.891,36077
